Artikelnummer;Artikelname;Länge;Breite;Höhe;Artikelgewicht;Farbe
PAL-EU;Euro-Palette;120;120;14.Apr;25;0x8B4513
02-0021;Bauschaum Universal - FM320 MULTI FOAM | Polyurethanschaum - Packung 12 Dosen;0;0;0;0,75;0000FF
02-01042;Einbau-Stahlwanne 1-tlg. für Unterflurmontage der Profi Scherenhebebühne RT-FW3500 (3,5 t);169;70;37;39;0001FF
02-01043;Einbau-Stahlwanne 1-tlg. für Unterflurmontage der Profi Scherenhebebühne RT-FW3500-2 (3,5 t);179;70;37;39;0002FF
02-0161;RETTER RT18100 Drehmomentschlüssel 1/2 Zoll 40-200Nm;0;0;0;10;0003FF
4933440493;Milwaukee 690 Bar Akku-Fettpresse M18 GG - ohne Akku;47,4;13;36,2;6,38;0004FF
4933498241;Akku - Winkelschleifer 18 V - inkl. 2 x 5.0 Ah Akku und Ladegerät im PACKOUT Koffer | Milwaukee -  M18 FSAG125XB100P - 502P;0;0;0;9;0005FF
4932464957;Hochentaster-Aufsatz QUIK-LOK™;24;67;24,5;3;0006FF
03-0011;Mechanischer Schnellwechsler für Minibagger;0;0;0;25;0007FF
02-0236 220-Liter;Mobiltank Dieselkraftstoff (ADR) Automatik Pumpe 12V 40l/min Dieseltank-Mobil 220 Liter;0;0;0;52;0008FF
02-0281;RETTER RTA5039 Ölwechsel Werkzeug 12-tlg.;0;0;0;2;0009FF
02-0043;RETTER Ein-Säulen-Hebebühne RTH-1100 Ultraflach;265;155;100;950;0010FF
02-0092;RETTER RTB1054 SAC Kupplung Montagewerkzeug BMW OPEL RENAULT;0;0;0;8;0011FF
02-0205;4-tlg. Torx Steckschlüssel Satz I Stecknüsse E-Profil Set Aussen-Torx E14 E24 - RTE0023;0;0;0;1;0012FF
02-0449;RETTER Reifenmontage Schutzdichtung 2 tlg. Wulstbrecher - Hilfswerkzeug;0;0;0;1;0013FF
7521200;Haus- und Gartenpumpe für Klarwasser mit Filter und LCD-Anzeige GP 1105S;0;0;0;11;0014FF
03-0015;11 PS 1-Zylinder luftgekühlten Dieselmotor KOOP KD192F inkl. Starter-Kit;0;0;0;100;0015FF
02-0340-400 Volt;RETTER 2 Säulen Hebebühne 4.000 kg - Automatische Entriegelung EAG4000 400 Volt;235;56;75;540;0016FF
02-0421-57 mm;Gabelringschlüssel 52 - 62 mm | RETTER 57 mm;0;0;0;1;0017FF
300x55x80;Gummikette Minibagger Kette 300x55x80;0;0;0;35;0018FF
02-0434;Hochkippschaufel-Anbaugerät für Hoflader;0;0;0;139;0019FF
01-0112;Montiermaschine RT-706A Pro mit Schwingarm, 2 Geschwindigkeiten und Felgenspannung bis 28 Zoll | RETTER;125;92;95;254;0020FF
6300003;Griffschutz WPP 30 E/EF - 30 Tonnen Werkstattpresse Zubehör;0;0;0;2;0021FF
