Artikelnummer;Artikelname;Länge;Breite;Höhe;Artikelgewicht;Farbe
01-0010;Ringratschenschlüssel Set 22-teilig;0;0;0;0;0000FF
02-0068;RETTER RTA4007A Kühler Druck Prüfung Abdrückgerät Set;45;40;5;6;0001FF
01-0019;RETTER RTJ0002 Hydraulischer Lagerabzieher Satz 10.000 kg;45;40;10;6;0002FF
02-0069;RETTER RTA4013 Schlauchklemmenzange Set;35;35;6;5;0003FF
01-0034;"RETTER 1/2""+3/8""+1/4"" Ratschenkasten Steckschlüssel 172-teilig";45;45;10;4;0004FF
01-0035;Steckschlüssel Satz 108-tlg. Werkzeugkoffer;25;27;8,5;7;0005FF
02-0071;Bremsentlüftungsgerät Druckluft 10 L RETTER RTB4023;45;40;30;4;0006FF
02-0072;RETTER RTB2020 Traggelenk Kugelgelenk Abzieher;35;35;5;5;0007FF
02-0073;RETTER RT9017 Bremskolben Rückstellwerkzeug Druckluft 16 Teile;35;35;20;0;0008FF
02-0110;Bremsentlüfung Vakuumpumpe Druckpumpe RETTER RTB4030;35;35;10;5;0009FF
02-0074;RETTER RTA2154 Motoreinstellwerkzeug Nockenwellen Arretierung Set;35;35;10;10;0010FF
02-0075;RETTER RTB3023 Kugelgelenk Ausdrücker Kugelkopf Abzieher;30;25;10;8;0011FF
02-0177;RETTER RTJ1125 Lagerabzieher Satz 2+3-armig Innen Außen;35;35;10;11;0012FF
02-0178;RETTER RTB2029 Silentlager Abzieher Druck- Zughülen Satz;30;30;15;8;0013FF
02-0076;Kugelgelenk Ausdrücker Abzieher mit 5 Gabeln RETTER RTB3036;39;29;8;5;0014FF
02-0077;RETTER RTA2016 Motoreinstellwerkzeug Zahnriemen VAG - VW - AUDI;50;25;10;5;0015FF
02-0078;RETTER RT9022 Power Federspanner Tieferlegung Mc Pherson Tuning;40;40;10;8;0016FF
02-0084;RETTER RT2023 Diesel Injektor Abzieher CDI Einspritzdüsen Werkzeug;40;35;5;10;0017FF
01-0052;RETTER Motoreinstellwerkzeug Set BMW M52 M54 M56;0;0;0;0;0018FF
02-0085;RETTER RTB2031 Zug- und Drückhülsen Werkzeug Set 26 Teile;0;0;0;8;0019FF
02-0092;RETTER RTB1054 SAC Kupplung Montagewerkzeug BMW OPEL RENAULT;0;0;0;8;0020FF
02-0020;RETTER RTD-7019 Druckluft Schlauchtrommel 15m 300 Psi;0;0;0;3;0021FF
02-0087;RETTER RTJ1015 Universal Lagerabzieher Satz 2+3 Arm Innen Außen;0;0;0;10;0022FF
02-0090;RETTE  RTA1003 Kolbenring Spannband Satz Kolbenringzange KFZ;0;0;0;5;0023FF
02-0091;RETTER RTA2008 Motoreinstellwerkzeug Steuerkette BMW / OPEL;0;0;0;5;0024FF
02-0070;RETTER RTA2055 Motoreinstellwerkzeug Nockenwelle Citroen / Peugeot;0;0;0;5;0025FF
02-0170;RETTER LED Akku 7,4V Motorraumleuchte - 120 LEDs RTS0211;0;0;0;5;0026FF
02-0002;RETTER RT4200 Kompressor 200 L / 10 Bar 4 PS;140;58;93;130;0027FF
02-0544;RETTER Druckluft Kompressor 100 L / 10 Bar 4 PS RETTER RT4100;106;39;76;95;0028FF
02-0086;Werkzeugwagen R6 mit Werkzeug 306-tlg. | 7 Schubladen - RETTER Werkstattwagen Tech Edition;79;48;84;87,6;0029FF
